,hour_ending,tot_wind,tot_solar,ext_pricing
0,0,873.818,0,0
1,1,872.018,0,0
2,2,734.695,0,0
3,3,725.868,0,0
4,4,747.201,0,0
5,5,857.532,0,0
6,6,862.065,3.29,1271.645
7,7,883.326,22.92,1075.754
8,8,889.134,312.4,591.466
9,9,911.89,904.27,0
10,10,814.642,1434.99,0
11,11,891.94,1662,0
12,12,890.82,1653.06,0
13,13,914.754,1435.27,0
14,14,922.33,938.44,0
15,15,890.06,314.85,0
16,16,922.554,10.79,636.656
17,17,905.437,0,781.563
18,18,869.009,0,655.991
19,19,844.467,0,785.533
20,20,840.179,0,844.821
21,21,818.396,0,0
22,22,858.664,0,0
23,23,852.378,0,0