hour_ending,tot_wind,tot_solar,tot_load
1,873.818,0,2000
2,872.018,0,1991
3,734.695,0,2133
4,725.868,0,2012
5,747.201,0,2175
6,857.532,0,2083
7,862.065,3.29,2137
8,883.326,22.92,1982
9,889.134,312.4,1793
10,911.89,904.27,1826
11,814.642,1434.99,1809
12,891.94,1662,1656
13,890.82,1653.06,1646
14,914.754,1435.27,1713
15,922.33,938.44,1550
16,890.06,314.85,1678
17,922.554,10.79,1570
18,905.437,0,1687
19,869.009,0,1525
20,844.467,0,1630
21,840.179,0,1685
22,818.396,0,1723
23,858.664,0,1629
24,852.378,0,1445